task_id,study,theta,Omega_hat,omega,n_agents,omega_as_frac
lorenz2017_task_198,lorenz2011,92.0,0.8159999999999265,1.0,50,1
lorenz2017_task_639,lorenz2011,98.0,0.6667999999999429,0.1,5,0.1
lorenz2017_task_639,lorenz2011,98.0,0.7808999999999303,0.1,20,0.1
lorenz2017_task_639,lorenz2011,98.0,0.8034999999999278,0.1,35,0.1
lorenz2017_task_639,lorenz2011,98.0,0.8121999999999269,0.1,50,0.1
lorenz2017_task_639,lorenz2011,98.0,0.6608999999999435,0.3333333333333333,5,0.33
lorenz2017_task_639,lorenz2011,98.0,0.7905999999999292,0.3333333333333333,20,0.33
lorenz2017_task_639,lorenz2011,98.0,0.8089999999999272,0.3333333333333333,35,0.33
lorenz2017_task_639,lorenz2011,98.0,0.8004999999999282,0.3333333333333333,50,0.33
lorenz2017_task_639,lorenz2011,98.0,0.6542999999999443,0.6666666666666666,5,0.66
lorenz2017_task_639,lorenz2011,98.0,0.7857999999999298,0.6666666666666666,20,0.66
lorenz2017_task_639,lorenz2011,98.0,0.802299999999928,0.6666666666666666,35,0.66
lorenz2017_task_639,lorenz2011,98.0,0.8055999999999276,0.6666666666666666,50,0.66
lorenz2017_task_639,lorenz2011,98.0,0.6457999999999452,1.0,5,1
lorenz2017_task_639,lorenz2011,98.0,0.78399999999993,1.0,20,1
lorenz2017_task_639,lorenz2011,98.0,0.8052999999999276,1.0,35,1
lorenz2017_task_639,lorenz2011,98.0,0.8074999999999274,1.0,50,1
lorenz2017_task_9272,lorenz2011,806.0,0.6954999999999397,0.1,5,0.1
lorenz2017_task_9272,lorenz2011,806.0,0.8462999999999231,0.1,20,0.1
lorenz2017_task_9272,lorenz2011,806.0,0.884099999999919,0.1,35,0.1
lorenz2017_task_9272,lorenz2011,806.0,0.8978999999999174,0.1,50,0.1
lorenz2017_task_9272,lorenz2011,806.0,0.7002999999999392,0.3333333333333333,5,0.33
lorenz2017_task_9272,lorenz2011,806.0,0.8415999999999236,0.3333333333333333,20,0.33
lorenz2017_task_9272,lorenz2011,806.0,0.8813999999999192,0.3333333333333333,35,0.33
lorenz2017_task_9272,lorenz2011,806.0,0.9034999999999168,0.3333333333333333,50,0.33
lorenz2017_task_9272,lorenz2011,806.0,0.6947999999999398,0.6666666666666666,5,0.66
lorenz2017_task_9272,lorenz2011,806.0,0.8505999999999226,0.6666666666666666,20,0.66
lorenz2017_task_9272,lorenz2011,806.0,0.8860999999999187,0.6666666666666666,35,0.66
lorenz2017_task_9272,lorenz2011,806.0,0.8994999999999173,0.6666666666666666,50,0.66
lorenz2017_task_9272,lorenz2011,806.0,0.6968999999999396,1.0,5,1
lorenz2017_task_9272,lorenz2011,806.0,0.8461999999999231,1.0,20,1
lorenz2017_task_9272,lorenz2011,806.0,0.8825999999999191,1.0,35,1
lorenz2017_task_9272,lorenz2011,806.0,0.8967999999999176,1.0,50,1
